symbol,market_cap,pe_ratio,forward_pe,pb_ratio,ps_ratio,peg_ratio,profit_margin,operating_margin,roe,roa,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,book_value,price_to_book,enterprise_value,ev_to_revenue,ev_to_ebitda,shares_outstanding,float_shares,shares_short,sector,industry,timestamp
ABB,1102446329856.0,61.28006,53.50417,15.312389,8.741186,,0.14234,0.137,0.26575002,0.106759995,0.122,-0.207,1.018,2.011,1.489,0.84,0.5203,0.668,339.529,15.312389,1046411542528.0,8.297,47.563,211908375.0,51451510.0,,Industrials,Specialty Industrial Machinery,2025-10-01 18:55:38
ADANIENSOL,1085411033088.0,43.72439,30.491549,4.87929,4.3057804,,0.09506,0.27125,,,1.116,,175.092,,,,0.0,0.862,183.705,4.87929,1405956390912.0,5.577,16.5,1201282642.0,325211237.0,,Utilities,Utilities - Independent Power Producers,2025-10-01 18:55:39
ADANIENT,3036926705664.0,47.677452,39.441696,6.2747917,3.217644,,0.06758,0.09227,0.14343001,,-0.138,-0.511,162.597,,,0.05,0.0239,0.624,413.193,6.2747917,3805984587776.0,4.032,29.203,1154180729.0,266523414.0,,Energy,Thermal Coal,2025-10-01 18:55:40
ADANIGREEN,1772381011968.0,108.20121,40.27595,15.742781,14.343133,,0.13846,0.59868,,,0.341,0.62,354.583,,,,0.0,0.823,67.631,15.742781,2485453848576.0,20.114,25.896,1647176155.0,315745194.0,,Utilities,Utilities - Renewable,2025-10-01 18:55:42
ADANIPORTS,3092003946496.0,27.354355,42.570316,4.9354234,9.471557,,0.34596002,0.46465,,,0.312,0.065,79.193,,,0.5,0.1339,0.424,288.263,4.9354234,3512615567360.0,10.76,18.291,2160138945.0,846018418.0,,Industrials,Marine Shipping,2025-10-01 18:55:43
ADANIPOWER,2975674138624.0,24.4016,-68.39013,5.2195487,5.3754635,,0.2242,0.32579,,,-0.057,-0.113,68.48,,,,0.0,0.248,29.219,5.2195487,3182798045184.0,5.75,15.248,19284694705.0,5224609489.0,,Utilities,Utilities - Independent Power Producers,2025-10-01 18:55:44
AMBUJACEM,1418815078400.0,32.765347,28.846376,2.6321244,3.840683,,0.11682,0.10686,,,0.238,0.208,1.236,,,0.35,0.11399999,-0.134,216.973,2.6321244,1437277880320.0,3.891,23.021,2471823478.0,800293449.0,,Basic Materials,Building Materials,2025-10-01 18:55:45
APOLLOHOSP,1079387619328.0,68.46706,91.18873,13.028032,4.7865353,,0.06978,0.109069996,,,0.149,0.418,90.886,,,0.27,0.1736,0.168,571.153,13.028032,1128245493760.0,5.003,38.346,143784657.0,101350929.0,,Healthcare,Medical Care Facilities,2025-10-01 18:55:46
ASIANPAINT,2239012536320.0,62.122345,82.71246,11.549073,6.61634,,0.10629,0.14837,,,-0.002,-0.06,11.418,,,1.06,0.661,0.38,202.25,11.549073,2236688367616.0,6.609,40.701,958563435.0,442007934.0,,Basic Materials,Specialty Chemicals,2025-10-01 18:55:47
AXISBANK,3668083736576.0,12.953859,11.610025,1.853234,4.767677,,0.36215,0.45122,0.15557,0.01768,-0.017,-0.031,,,,0.09,0.0223,0.455,625.663,1.853234,5056963280896.0,6.573,,3102770730.0,2787085057.0,,Financial Services,Banks - Regional,2025-10-01 18:55:48
BAJAJ-AUTO,2410028204032.0,31.773481,50.38255,6.845983,4.527079,,0.14264,0.23341998,,,0.112,0.136,26.301,,,2.41,0.7729,0.782,1260.082,6.845983,2424076238848.0,4.553,19.336,279185682.0,113847742.0,,Consumer Cyclical,Auto Manufacturers,2025-10-01 18:55:49
BAJAJFINSV,3203667329024.0,33.965137,40.61931,4.424574,2.3624423,,0.07023,0.40112,0.16087,,0.129,0.301,221.494,,,0.05,0.016900001,0.636,453.603,4.424574,6455430217728.0,4.76,12.656,1596246827.0,579468965.0,,Financial Services,Financial Conglomerates,2025-10-01 18:55:51
BAJAJHFL,932351377408.0,40.981617,30.612946,4.6540856,26.817137,,0.65107,0.78578,,,0.203,0.167,411.533,,,,0.0,,23.951,4.6540856,1723356676096.0,49.569,18.934,8332334619.0,937554291.0,,Financial Services,Mortgage Finance,2025-10-01 18:55:52
BAJAJHLDNG,1383396802560.0,15.900957,,2.1297324,147.82724,,8.97258,0.85539,,,1.279,1.165,0.043,,,1.06,0.1233,0.116,5632.633,2.1297324,1394287181824.0,148.991,185.979,111293510.0,42762305.0,,Financial Services,Asset Management,2025-10-01 18:55:53
BAJFINANCE,6135976296448.0,35.187035,23.531654,6.3414917,15.824331,,0.44939,0.60695,0.20079,,0.201,0.197,294.158,,,0.44,0.1568,0.468,155.752,6.3414917,9027629088768.0,23.282,,6212388900.0,2640162674.0,,Financial Services,Credit Services,2025-10-01 18:55:54
BANKBARODA,1342485692416.0,6.900585,11.783931,0.87335664,2.0896447,,0.30287,0.35212,0.13797,0.01124,-0.006,-0.266,,,,3.23,0.2219,0.525,297.244,0.87335664,1300774387712.0,2.025,,5171362179.0,1853958397.0,,Financial Services,Banks - Regional,2025-10-01 18:55:55
BEL,2971425046528.0,54.127827,53.206806,14.875942,12.399061,,0.22952,0.2517,,,0.046,0.231,0.306,,,0.59,0.3054,0.369,27.326,14.875942,2858144497664.0,11.926,40.119,7309778829.0,3511116234.0,,Industrials,Aerospace & Defense,2025-10-01 18:55:56
BHARTIARTL,11421575282688.0,31.66497,27.74616,9.500023,6.2093554,,0.19215,0.31081,0.29464,0.07039,0.285,0.418,126.505,0.424,0.177,0.85,0.1357,0.166,196.589,9.500023,13670712082432.0,7.432,14.865,5698042286.0,2806054343.0,,Communication Services,Telecom Services,2025-10-01 18:55:57
BOSCHLTD,1130511728640.0,42.38188,41.95131,8.181943,6.1559963,,0.14512,0.11575,,,0.109,1.394,0.856,,,1.34,0.1881,0.501,4683.484,8.181943,1079668899840.0,5.879,44.083,29493640.0,8648420.0,,Consumer Cyclical,Auto Parts,2025-10-01 18:55:58
BPCL,1473790476288.0,8.377313,10.958065,1.8109028,0.33515927,,0.039419997,0.0692,,,-0.005,1.408,75.077,,,2.94,0.3821,0.915,187.586,1.8109028,1982147985408.0,0.451,6.945,4338505488.0,1848290151.0,,Energy,Oil & Gas Refining & Marketing,2025-10-01 18:55:59
BRITANNIA,1437140647936.0,65.522736,73.32555,32.994347,7.871565,,0.12016,0.14604001,,,0.088,0.03,28.451,,,1.25,0.807,0.535,180.834,32.994347,1443318857728.0,7.905,45.438,240868296.0,117623215.0,,Consumer Defensive,Packaged Foods,2025-10-01 18:56:01
CANBK,1122583838720.0,6.066667,6.5377707,1.0649045,1.9534943,,0.29004,0.36912,0.16364,,0.128,-0.214,,,,3.23,0.19610001,0.611,116.217,1.0649045,840152514560.0,1.462,,9070651260.0,3233414606.0,,Financial Services,Banks - Regional,2025-10-01 18:56:02
CGPOWER,1164977766400.0,113.466255,78.78594,29.424866,11.032833,,0.094960004,0.11734,,,0.292,0.114,1.018,,,0.18,0.1985,0.367,25.142,29.424866,1118500421632.0,10.593,85.251,1574719809.0,648075110.0,,Industrials,Electrical Equipment & Parts,2025-10-01 18:56:03
CHOLAFIN,1350697877504.0,30.386145,20.159584,5.7035766,11.890804,,0.39205003,0.52505,,,0.198,0.2,743.089,,,0.12,0.0378,0.612,281.455,5.7035766,3058551226368.0,26.926,,841399032.0,420201351.0,,Financial Services,Credit Services,2025-10-01 18:56:04
CIPLA,1231143174144.0,22.848082,23.811771,3.9172435,4.4802046,,0.19624001,0.22311,,,0.032,0.102,1.404,,,0.87,0.38959998,0.102,386.241,3.9172435,1113472761856.0,4.052,15.702,807765695.0,562881438.0,,Healthcare,Drug Manufacturers - Specialty & Generic,2025-10-01 18:56:05
COALINDIA,2399460917248.0,7.24003,15.277231,2.4164655,1.9093688,,0.26378,0.31208,,,-0.039,-0.202,9.15,,,8.22,0.49,0.039,160.772,2.4164655,2126166622208.0,1.692,4.674,6162728327.0,2533413953.0,,Energy,Thermal Coal,2025-10-01 18:56:07
DABUR,893078011904.0,49.406185,39.923386,8.12343,7.077495,,0.14117,0.16263,,,0.017,0.025,8.478,,,2.14,0.5489,0.245,60.941,8.12343,857782943744.0,6.798,37.245,1773690172.0,589668006.0,,Consumer Defensive,Household & Personal Products,2025-10-01 18:56:08
DIVISLAB,1515825528832.0,65.59448,101.42096,10.1264305,15.704782,,0.23891,0.25601998,,,0.138,0.265,0.027,,,0.53,0.3455,0.234,563.871,10.1264305,1475153494016.0,15.283,48.129,265468580.0,120774930.0,,Healthcare,Drug Manufacturers - Specialty & Generic,2025-10-01 18:56:11
DLF,1794813591552.0,39.88404,40.487667,4.2019105,19.199951,,0.47974998,0.12136,,,0.994,0.18,9.644,,,0.84,0.2761,0.454,171.898,4.2019105,1695958433792.0,18.142,75.43,2475311706.0,593356969.0,,Real Estate,Real Estate - Development,2025-10-01 18:56:13
DMART,2895696887808.0,106.763435,85.13296,13.507139,4.6971,,0.043909997,0.06524,,,0.163,-0.001,3.825,,,,0.0,0.428,329.448,13.507139,2916501946368.0,4.731,63.268,650733068.0,146031470.0,,Consumer Defensive,Discount Stores,2025-10-01 18:56:14
DRREDDY,1051283030016.0,18.533352,3.6276996,2.9596462,3.1451056,,0.16993,0.20497,0.17712,0.09712,0.114,0.02,13.751,1.893,1.156,0.64,0.1175,0.32,420.557,2.9596462,1004224184320.0,3.004,11.233,832370850.0,591382842.0,,Healthcare,Drug Manufacturers - Specialty & Generic,2025-10-01 18:56:15
EICHERMOT,1925842862080.0,39.85413,32.813034,9.03925,9.936193,,0.24962,0.19928,,,0.078,0.094,2.151,,,0.99,0.2895,0.135,776.779,9.03925,1887707725824.0,9.739,42.493,274277990.0,134611822.0,,Consumer Cyclical,Auto Manufacturers,2025-10-01 18:56:16
ETERNAL,2987294195712.0,996.96967,116.24004,10.580819,12.874048,,0.01289,-0.02777,,,0.704,-0.893,6.747,,,,0.0,0.327,31.094,10.580819,2674020057088.0,11.524,490.196,9079921948.0,6096083333.0,,Consumer Cyclical,Internet Retail,2025-10-01 18:56:17
GAIL,1147745861632.0,9.873302,10.347362,1.3502266,0.80556905,,0.08167,0.07579,,,0.016,-0.256,25.335,,,4.25,0.36740002,0.67,129.282,1.3502266,1351362019328.0,0.948,9.191,6575079643.0,2699374344.0,,Utilities,Utilities - Regulated Gas,2025-10-01 18:56:19
GODREJCP,1175103209472.0,62.525852,52.0435,9.792571,7.996853,,0.12617,0.17347,,,0.099,0.005,33.689,,,1.72,1.1037999,0.281,117.293,9.792571,1198652260352.0,8.157,41.186,1023074343.0,362635863.0,,Consumer Defensive,Household & Personal Products,2025-10-01 18:56:20
GRASIM,1892959518720.0,46.37134,119.62693,1.941205,1.2293046,,0.026300002,0.17478001,,,0.185,0.152,118.847,,,0.36,0.16600001,0.269,1437.097,1.941205,4110443872256.0,2.669,13.821,678553102.0,364769789.0,,Basic Materials,Building Materials,2025-10-01 18:56:21
HAL,3212393578496.0,38.624958,37.51777,9.183092,10.21349,,0.26423,0.17774999,,,0.108,-0.037,0.147,,,0.84,0.3058,0.515,523.07,9.183092,2793077997568.0,8.88,33.661,668775000.0,184555149.0,,Industrials,Aerospace & Defense,2025-10-01 18:56:22
HAVELLS,931999907840.0,65.77502,47.66367,11.18643,4.3496113,,0.0659,0.07514,,,-0.06,-0.145,3.819,,,0.66,0.4437,0.378,132.768,11.18643,911432679424.0,4.254,45.682,626941732.0,246588722.0,,Industrials,Electrical Equipment & Parts,2025-10-01 18:56:23
HCLTECH,3792302505984.0,22.19294,19.782175,461.6279,270.47302,,0.14229,0.16305,0.24607,0.13249,0.054,-0.077,9.377,2.264,2.065,3.9,0.86300004,0.233,3.01,461.6279,3750220005376.0,267.472,1298.553,2709305474.0,1048447032.0,,Technology,Information Technology Services,2025-10-01 18:56:24
HDFCBANK,14826542727168.0,22.062857,10.017123,2.7244399,5.418938,,0.25794,0.29772,0.13925,0.01733,0.011,-0.022,,,,1.16,0.2515,0.609,354.293,2.7244399,19341141606400.0,7.069,,15360313810.0,15268497860.0,,Financial Services,Banks - Regional,2025-10-01 18:56:25
HDFCLIFE,1646837628928.0,87.71527,121.26984,9.676275,1.6519177,,0.01885,0.02242,0.11622,0.00301,0.093,0.14,17.34,1.261,0.506,0.27,0.2408,0.664,78.956,9.676275,1628930441216.0,1.634,94.9,2155546503.0,953495112.0,,Financial Services,Insurance - Life,2025-10-01 18:56:26
HEROMOTOCO,1092507533312.0,21.714367,19.420275,5.6380053,2.7015262,,0.12458,0.124110006,,,-0.047,0.631,3.607,,,2.44,0.5563,0.706,963.55,5.6380053,1031001079808.0,2.549,17.983,200067860.0,129511017.0,,Consumer Cyclical,Auto Manufacturers,2025-10-01 18:56:28
HINDALCO,1700977442816.0,9.933212,10.9193,1.374799,0.6922563,,0.068909995,0.09327,0.14729999,,0.127,0.303,53.056,,,0.67,0.046,1.004,557.136,1.374799,2108466790400.0,0.858,6.381,2220742227.0,1395770726.0,,Basic Materials,Aluminum,2025-10-01 18:56:29
HINDUNILVR,5989926961152.0,55.484577,49.35858,12.062324,9.3698015,,0.16886,0.20327999,,,0.051,0.056,3.322,,,1.91,0.936,0.381,210.258,12.062324,5815832412160.0,9.097,40.823,2349591262.0,873484048.0,,Consumer Defensive,Household & Personal Products,2025-10-01 18:56:30
HYUNDAI,2105293275136.0,37.32823,28.333073,12.649128,3.0841577,,0.080860004,0.10097,,,-0.055,-0.081,5.217,,,0.81,0.0,,200.583,12.649128,2022798655488.0,2.963,23.019,812541100.0,133746127.0,,Consumer Cyclical,Auto Manufacturers,2025-10-01 18:56:31
ICICIBANK,9885506863104.0,18.674288,36.16236,2.9705586,4.810826,,0.2574,0.39253,0.17884001,0.02229,0.108,0.146,,,,0.82,0.136,0.474,461.866,2.9705586,9961551691776.0,4.848,,7143705861.0,7108624528.0,,Financial Services,Banks - Regional,2025-10-01 18:56:33
ICICIGI,945893933056.0,35.641266,32.657402,5.8452168,3.811975,,0.1078,0.15458,0.17896,0.03323,0.141,0.277,,0.278,0.012,0.66,0.2337,0.598,325.668,5.8452168,930967191552.0,3.752,25.141,496792527.0,223583285.0,,Financial Services,Insurance - Diversified,2025-10-01 18:56:34
ICICIPRULI,862783537152.0,68.81199,52.83653,6.8778677,1.2144417,,0.01777,0.017439999,0.10593,0.00358,0.0,0.33,20.727,1.82,0.932,0.15,0.0979,0.589,86.742,6.8778677,852099858432.0,1.199,42.487,1446167579.0,362554212.0,,Financial Services,Insurance - Life,2025-10-01 18:56:35
